names,scores,logfoldchanges,pvals,pvals_adj
BARD1,8.612118,0.5879985,7.172315881247847e-18,6.388734530573408e-16
HNRNPA3,8.608925,0.34774554,7.374884573656306e-18,6.547843946467706e-16
SECISBP2,8.601386,0.6373753,7.875914411048793e-18,6.970056811797421e-16
TPGS2,8.596849,0.48128158,8.193464853267057e-18,7.227693221852933e-16
PSIP1,8.577133,0.42545924,9.726702449463058e-18,8.525205294327461e-16
GUSB,8.56686,0.44430536,1.0634443029581244e-17,9.291037670508904e-16
CFAP20,8.565718,0.565594,1.0740440788606998e-17,9.353760949211687e-16
SP1,8.526107,0.65828574,1.5135531790784693e-17,1.3097982669329057e-15
RIF1,8.4973955,0.47515813,1.9389167377362896e-17,1.6673464500042948e-15
CTNNAL1,8.48588,0.6750182,2.1409274522159177e-17,1.8352916021409555e-15
USP11,8.48309,0.5236731,2.192901537155106e-17,1.8739714198451104e-15
UBR7,8.475977,0.68911904,2.3311484763831655e-17,1.985906113245297e-15
ILF3,8.471004,0.39580172,2.4328856982376568e-17,2.0661395125468e-15
ARHGAP33,8.463161,0.9249062,2.6022466056927152e-17,2.203128039605975e-15
STAG1,8.446067,0.7739126,3.012807524154397e-17,2.5428467455409303e-15
CENPS,8.4447,0.622562,3.04826331131233e-17,2.562633560454954e-15
SF3B4,8.444443,0.45876855,3.054993566548362e-17,2.562633560454954e-15
SSBP2,8.443793,0.5515787,3.072030678527188e-17,2.5690443711010546e-15
PFKL,8.440029,0.43153176,3.1725886899712634e-17,2.645049094998603e-15
SUPT16H,8.437161,0.45979273,3.2513774504515154e-17,2.702497500305384e-15
HSPB11,8.432815,0.44959754,3.374485437140781e-17,2.7878754913610816e-15
ACAT2,8.429801,0.5869005,3.462523800550444e-17,2.8519932484895316e-15
CHEK1,8.340799,0.5269687,7.378981121340503e-17,6.041485561202917e-15
H3F3A,8.337136,0.19833572,7.611115580512611e-17,6.2129422884984434e-15
RAB11B,8.325621,0.4468986,8.388804504041995e-17,6.827388332367036e-15
NUMA1,8.321991,0.49327257,8.649778712774818e-17,7.018897586929975e-15
CHRAC1,8.31434,0.56149864,9.226428321614687e-17,7.464671860440096e-15
NRGN,8.290636,0.62258065,1.1264443320594044e-16,9.006943480846922e-15
IFI16,8.271436,0.49070343,1.3235566834840774e-16,1.0552181068966641e-14
MZB1,8.251417,0.73961186,1.565272295193929e-16,1.2406938024455996e-14
TAF15,8.250633,0.41177863,1.5755782093490375e-16,1.2434118297029253e-14
CDK5RAP2,8.250464,0.5848265,1.5777953079313797e-16,1.2434118297029253e-14
TRA2B,8.240551,0.40897772,1.7141949910145614e-16,1.3447282583857701e-14
POLE,8.240069,0.5165335,1.721110547922985e-16,1.3447282583857701e-14
CIRBP,8.200537,0.34041476,2.393164645428287e-16,1.853922957333766e-14
CD82,8.196447,0.4969976,2.475948621220039e-16,1.9126353388667568e-14
MSH5,8.169215,0.5978449,3.104022570286055e-16,2.3910591889307735e-14
WDR62,8.151325,0.81011635,3.599578423811033e-16,2.765002010604958e-14
CKAP5,8.142465,0.43251896,3.873130819245287e-16,2.966796509330017e-14
CD34,8.132774,0.6124607,4.195755309318501e-16,3.2049476170006624e-14
TPM4,8.126534,0.45855355,4.417373918024639e-16,3.3648330685877933e-14
CEP78,8.100456,0.6353092,5.475364332820752e-16,4.1591475845921186e-14
POLA2,8.085748,0.5627163,6.178417486276921e-16,4.667265319882008e-14
PNPLA2,8.074613,0.42349476,6.769138791579649e-16,5.099417889656669e-14
S100PBP,8.067431,0.63719845,7.179237222507387e-16,5.393500579304588e-14
STT3B,8.062637,0.44188663,7.466593419820531e-16,5.5940127029701984e-14
RNF168,8.055893,0.54492575,7.890040428233825e-16,5.895110534166179e-14
SPCS2,8.050348,0.43149307,8.255878196875257e-16,6.151641557813372e-14
NONO,8.050013,0.35914814,8.278579552920309e-16,6.15179446886301e-14
UBE2I,8.027261,0.3747605,9.967333338627e-16,7.386631367970026e-14
ZFP36L2,8.024617,0.39042577,1.0184341048221315e-15,7.527053792017839e-14
SKP2,8.02176,0.6534788,1.0424052623914618e-15,7.683453990662241e-14
SLFN13,8.021122,0.99895996,1.0478390584052373e-15,7.702743787943446e-14
PHF5A,8.020046,0.46462354,1.0570538561514444e-15,7.749650067109222e-14
CCNE2,8.010266,1.0209725,1.1445998059749734e-15,8.3690444636876e-14
HAUS1,7.973333,0.4887976,1.5445137688609095e-15,1.1263006272872115e-13
TCF12,7.9692554,0.52908164,1.5963337043275144e-15,1.160993124429261e-13
DDX39A,7.960484,0.41088054,1.7136767145034879e-15,1.2430292688279147e-13
SKA2,7.9587364,0.5774139,1.7380505302240192e-15,1.257373804219736e-13
HTRA2,7.941664,0.5346445,1.9948637850387985e-15,1.4393547510731131e-13
SIN3A,7.926687,0.55541176,2.250699264331866e-15,1.6196742653268214e-13
HAUS5,7.919047,0.65863174,2.3933804682260725e-15,1.7178315560133905e-13
SRRT,7.918621,0.41987437,2.4015872656839347e-15,1.7192095645914365e-13
