names,scores,logfoldchanges,pvals,pvals_adj
CYC1,11.398198,0.6159279,4.268644045994311e-30,3.7533871408926187e-28
CD164,11.361733,0.61486053,6.48449561346358e-30,5.683494136082534e-28
CLIP2,11.332951,1.2042258,9.011670260738308e-30,7.823274125401581e-28
CHST11,11.319468,0.7099436,1.051088556017127e-29,9.095907485077327e-28
MX2,11.311772,1.7540239,1.1474846114068596e-29,9.898774190388638e-28
CLNS1A,11.301569,0.6164148,1.2889458842983355e-29,1.1084123947176818e-27
ITM2B,11.300978,0.53589714,1.2976477088383874e-29,1.1123973117835278e-27
DARS,11.299451,0.6580939,1.3204089743709485e-29,1.1283719941608737e-27
NRG4,11.293439,1.9754401,1.4139451842968447e-29,1.2045403429838477e-27
AUP1,11.2831545,0.57454026,1.5894231485421373e-29,1.349825013044512e-27
SPN,11.243885,0.5936975,2.482124287559604e-29,2.1014294355295643e-27
MYO7B,11.23331,2.7958968,2.7979637449878716e-29,2.3615159435320476e-27
VPS51,11.207344,0.64794904,3.75284262966994e-29,3.1576995246447436e-27
HNRNPR,11.206611,0.61491215,3.7840751457393196e-29,3.1742122372818233e-27
EIF4B,11.147922,0.5680221,7.32987847148406e-29,6.129750968844131e-27
EIF3M,11.125877,0.57829976,9.387735705494698e-29,7.826738433001769e-27
SRP14,11.097274,0.5429141,1.2932836577504886e-28,1.0749585077460443e-26
CCT7,11.092442,0.60033894,1.365100995279367e-28,1.1312136914215022e-26
H3F3B,11.084337,0.38479182,1.4945296184039976e-28,1.2347252853436773e-26
PSMF1,11.080307,0.6487336,1.5633612510281832e-28,1.2877011075486958e-26
SAP18,11.067225,0.54103506,1.8091581085536491e-28,1.4856828119071497e-26
GAMT,11.035744,0.8728307,2.5691808477076755e-28,2.1034975886650926e-26
ACAP1,11.026158,0.6500828,2.8581412961119804e-28,2.333096474133678e-26
AC244502.1,11.014727,0.85449016,3.245209067902774e-28,2.641175213418728e-26
POLR1D,11.007927,0.56704855,3.4996368357438668e-28,2.8397943296810615e-26
NDUFV1,11.004496,0.57163805,3.635441116572616e-28,2.941265466680318e-26
PYCARD,10.994154,0.58520544,4.077192746560354e-28,3.288935482225352e-26
ATRAID,10.993469,0.59759575,4.108250735920789e-28,3.3042419007202917e-26
RPN2,10.988272,0.5745,4.351797188106422e-28,3.48986058375244e-26
ANXA7,10.978293,0.6504713,4.860193108603734e-28,3.886164934148471e-26
PSMD7,10.973941,0.63054234,5.100019825962858e-28,4.066039130051904e-26
PRDX5,10.925363,0.5313638,8.719111959258464e-28,6.931187082496569e-26
MBP,10.918697,0.7980397,9.383144474481634e-28,7.43743387823695e-26
ATP2A3,10.898979,0.6412722,1.165581410604351e-27,9.212135622655083e-26
PTPRC,10.891328,0.58272976,1.2677870275042106e-27,9.991038632314162e-26
HENMT1,10.887578,1.0153853,1.3210746368691599e-27,1.0381065235581623e-25
WRNIP1,10.883074,0.74582076,1.3880140380055755e-27,1.0875825754527354e-25
FBL,10.859213,0.57249063,1.80297177628773e-27,1.4086876055532648e-25
HLA-C,10.831855,0.5446497,2.431779282385409e-27,1.8891885300031649e-25
C11orf21,10.8123665,1.122007,3.0080966361390852e-27,2.32371216417682e-25
EEF2,10.805481,0.50350714,3.242520936198154e-27,2.4977458456697105e-25
NACA,10.803615,0.41449317,3.309131195680041e-27,2.5418961145243366e-25
ARHGDIB,10.79895,0.4599707,3.4816034500812765e-27,2.666888737981025e-25
MGST1,10.782779,0.6742238,4.151509956161358e-27,3.171150593887947e-25
FXYD5,10.772627,0.56696373,4.635840038831329e-27,3.531244615651296e-25
LGALS1,10.761909,0.9038159,5.2080309908872785e-27,3.9560782076889866e-25
PUF60,10.761592,0.6194565,5.225976244856575e-27,3.9587131964500807e-25
PROK2,10.747667,1.1950192,6.077957212035343e-27,4.5787277663999585e-25
MLC1,10.706507,0.9899463,9.487406344398015e-27,7.1275443377447285e-25
FNBP1,10.705503,0.63543457,9.590751786290788e-27,7.185443790353641e-25
LAPTM4A,10.699507,0.61196667,1.0232116180577024e-26,7.64501226978304e-25
SF3B1,10.682897,0.52999777,1.2239142552134336e-26,9.119661913642114e-25
SNHG8,10.667984,0.5756638,1.437109167179686e-26,1.0679126979808612e-24
ST3GAL4,10.656386,1.0251715,1.6280088504821627e-26,1.2064913285985156e-24
RAP1B,10.653698,0.55773807,1.675724886933805e-26,1.238496561029509e-24
IFI16,10.614075,0.70685285,2.5632033236415342e-26,1.884230056137134e-24
ATP6AP1,10.602473,0.60790557,2.9020227946410615e-26,2.127579499792345e-24
MACF1,10.581858,0.57254565,3.617144067085772e-26,2.6447706325809497e-24
UBB,10.567211,0.546129,4.2288242319385296e-26,3.083771398575761e-24
EMC4,10.564878,0.6530909,4.335308401457335e-26,3.153014456017348e-24
RNPS1,10.549545,0.5648435,5.1043386663194226e-26,3.692678443628861e-24
FIS1,10.538178,0.5528227,5.760408296072952e-26,4.156309373731159e-24
PYCR2,10.534334,0.6592373,6.000635595834569e-26,4.3182468685182135e-24
NDUFAF3,10.532258,0.6316695,6.134515335327482e-26,4.403004103933473e-24
UQCRC2,10.527283,0.5690053,6.467471846383008e-26,4.6298294531725065e-24
PHB2,10.511066,0.5568509,7.681952378213209e-26,5.4848738834104025e-24
PRR13,10.492248,0.48597348,9.377054175327554e-26,6.677732382252795e-24
CASP1,10.489867,0.9955734,9.61632659922843e-26,6.830339407337679e-24
RUVBL2,10.449778,0.64712113,1.468696010262774e-25,1.040491220120358e-23
NDUFS3,10.440016,0.6113142,1.6278322622548458e-25,1.1502506729617833e-23
SNHG29,10.419833,0.55321586,2.0130499424014024e-25,1.4187851475491944e-23
SERPINB6,10.398567,0.60815287,2.5168978987323406e-25,1.7693339315870074e-23
DPP7,10.367294,0.5546177,3.4927417263409526e-25,2.442775326049097e-23
TNFSF13,10.357632,0.74607694,3.8640968699291677e-25,2.695601862374567e-23
