names,scores,logfoldchanges,pvals,pvals_adj
TRMT11,3.7495701,0.47422203,0.0001771378762359745,0.0013519431659360754
MALSU1,3.7494833,0.18293795,0.00017719934243173017,0.0013520349380965661
SFXN2,3.7486045,0.56855273,0.00017782127626368442,0.0013564018467801153
IER3,3.7473168,1.1839236,0.0001787363333971849,0.00136300160989387
FAM234A,3.7468643,0.17196909,0.0001790588897317584,0.0013650806798451813
SMG7,3.7447674,0.16467224,0.00018056097374931511,0.0013761483801975395
ABHD17B,3.741548,0.23509593,0.0001828901530618383,0.0013935118767425551
ZNF282,3.7413828,0.3760739,0.00018301051877943976,0.0013940405700675655
GTPBP3,3.7405822,0.30937183,0.0001835943963367321,0.0013980986806528199
PEAK1,3.738616,0.51531637,0.00018503614770207547,0.001408685549849932
AGPS,3.7354577,0.20903239,0.00018737417779119076,0.0014260880227881722
CRIM1,3.734953,0.78514177,0.00018775031037661198,0.0014285531406674544
GPR180,3.7345266,0.54589844,0.00018806863049907914,0.0014305771264611455
NUDC,3.733996,0.21654671,0.00018846561541759077,0.0014331981977779302
OFD1,3.7302632,0.17762162,0.00019127985318120953,0.0014541948471207549
AL450998.2,3.7287667,0.18388589,0.000192419225217191,0.0014624502870453876
CHCHD1,3.7283578,0.14033644,0.0001927316729952185,0.0014644179854757559
AP3S1,3.7272527,0.14120623,0.00019357833326340022,0.001470442528172484
DYNC1LI1,3.7270613,0.16988228,0.0001937253535278251,0.0014711506574762304
YIF1B,3.7259824,0.15637293,0.00019455597757180178,0.0014770482406103532
DTNB,3.7255387,0.48764312,0.0001948985755239595,0.0014792385362970293
UBA6,3.724364,0.21087423,0.00019580819090101478,0.0014857299634792314
CIAO2A,3.7237985,0.1844307,0.00019624757518550218,0.0014886508158176816
PHF21A,3.7203703,0.21742494,0.00019893081042151513,0.0015081679905147637
MPHOSPH8,3.7195177,0.14268757,0.00019960354685540787,0.0015128488337882438
SYNJ2BP,3.718787,0.37538043,0.0002001818787260013,0.001516811763824115
SNX29,3.718317,0.23665705,0.00020055449442240827,0.001519214184065146
GPBP1,3.7177167,0.14663783,0.00020103156276910178,0.0015220372095259243
